"Tag.number","Sex","Carapace.length","Release.latitude","Release.longitude","Release.date","Labels","Recapture.latitude","Recapture.longitude","Recapture.date","Days.between.captures","num","Progress","Size.at.release","Size.at.recapture","Size"
"191016","Male",57.6,-29.48243167,114.9590817,"2018-05-08","Tag 191016. A Male lobster, first caught on  2018-05-08 (57.6 mm).",NA,NA,NA,NA,1,0.04,"Sub-legal","Sub-legal","Sub-legal"
"191016","Male",61.2,-29.48267,114.95933,"2018-05-08","Tag 191016. At liberty for 97 days before being caught again on 2018-08-13 (61.2 mm).",-29.48267,114.95933,"2018-08-13",97,2,0.08,"Sub-legal","Sub-legal","Sub-legal"
"191033","Male",45.6,-29.48466167,114.9556467,"2018-05-08","Tag 191033. A Male lobster, first caught on  2018-05-08 (45.6 mm).",NA,NA,NA,NA,3,0.12,"Sub-legal","Sub-legal","Sub-legal"
"191033","Male",47.5,-29.48488,114.95561,"2018-05-08","Tag 191033. At liberty for 60 days before being caught again on 2018-07-07 (47.5 mm).",-29.48488,114.95561,"2018-07-07",60,4,0.16,"Sub-legal","Sub-legal","Sub-legal"
"191033","Male",51,-29.48475,114.9555,"2018-07-07","Tag 191033. At liberty for 69 days before being caught again on 2018-09-14 (51 mm).",-29.48475,114.9555,"2018-09-14",69,5,0.2,"Sub-legal","Sub-legal","Sub-legal"
"191039","Female",40.4,-29.42218333,114.895545,"2018-05-08","Tag 191039. A Female lobster, first caught on  2018-05-08 (40.4 mm).",NA,NA,NA,NA,6,0.24,"Sub-legal","Sub-legal","Sub-legal"
"191039","Female",49.5,-29.422085,114.89577,"2018-05-08","Tag 191039. At liberty for 212 days before being caught again on 2018-12-06 (49.5 mm).",-29.422085,114.89577,"2018-12-06",212,7,0.29,"Sub-legal","Sub-legal","Sub-legal"
"191048","Female",40.9,-29.41985667,114.8975467,"2018-05-08","Tag 191048. A Female lobster, first caught on  2018-05-08 (40.9 mm).",NA,NA,NA,NA,8,0.33,"Sub-legal","Sub-legal","Sub-legal"
"191048","Female",50.4,-29.42018333,114.8974083,"2018-05-08","Tag 191048. At liberty for 34 days before being caught again on 2018-06-11 (50.4 mm).",-29.42018333,114.8974083,"2018-06-11",34,9,0.37,"Sub-legal","Sub-legal","Sub-legal"
"191048","Female",50,-29.42019,114.8976,"2018-06-11","Tag 191048. At liberty for 97 days before being caught again on 2018-09-16 (50 mm).",-29.42019,114.8976,"2018-09-16",97,10,0.41,"Sub-legal","Sub-legal","Sub-legal"
"191048","Female",49.9,-29.42026,114.8977,"2018-09-16","Tag 191048. At liberty for 1 days before being caught again on 2018-09-17 (49.9 mm).",-29.42026,114.8977,"2018-09-17",1,11,0.45,"Sub-legal","Sub-legal","Sub-legal"
"191049","Female",40.8,-29.41985667,114.8975467,"2018-05-08","Tag 191049. A Female lobster, first caught on  2018-05-08 (40.8 mm).",NA,NA,NA,NA,12,0.49,"Sub-legal","Sub-legal","Sub-legal"
"191049","Female",52.8,-29.42018,114.89775,"2018-05-08","Tag 191049. At liberty for 100 days before being caught again on 2018-08-16 (52.8 mm).",-29.42018,114.89775,"2018-08-16",100,13,0.53,"Sub-legal","Sub-legal","Sub-legal"
"191073","Male",72.5,-29.21595152,114.8878359,"2018-05-08","Tag 191073. A Male lobster, first caught on  2018-05-08 (72.5 mm).",NA,NA,NA,NA,14,0.57,"Sub-legal","Sub-legal","Sub-legal"
"191073","Male",73.7,-29.21713,114.8878783,"2018-05-08","Tag 191073. At liberty for 1 days before being caught again on 2018-05-09 (73.7 mm).",-29.21713,114.8878783,"2018-05-09",1,15,0.61,"Sub-legal","Sub-legal","Sub-legal"
"191081","Male",56.5,-29.216695,114.8875617,"2018-05-08","Tag 191081. A Male lobster, first caught on  2018-05-08 (56.5 mm).",NA,NA,NA,NA,16,0.65,"Sub-legal","Sub-legal","Sub-legal"
"191081","Male",56.4,-29.21598667,114.88795,"2018-05-08","Tag 191081. At liberty for 1 days before being caught again on 2018-05-09 (56.4 mm).",-29.21598667,114.88795,"2018-05-09",1,17,0.69,"Sub-legal","Sub-legal","Sub-legal"
"191098","Female",56.6,-29.2145563,114.8874305,"2018-05-08","Tag 191098. A Female lobster, first caught on  2018-05-08 (56.6 mm).",NA,NA,NA,NA,18,0.73,"Sub-legal","Sub-legal","Sub-legal"
"191098","Female",56.5,-29.215525,114.888185,"2018-05-08","Tag 191098. At liberty for 1 days before being caught again on 2018-05-09 (56.5 mm).",-29.215525,114.888185,"2018-05-09",1,19,0.77,"Sub-legal","Sub-legal","Sub-legal"
"191128","Female",61.2,-29.22016333,114.889825,"2018-05-08","Tag 191128. A Female lobster, first caught on  2018-05-08 (61.2 mm).",NA,NA,NA,NA,20,0.81,"Sub-legal","Sub-legal","Sub-legal"
"191128","Female",60.6,-29.22019,114.88938,"2018-05-08","Tag 191128. At liberty for 1 days before being caught again on 2018-05-09 (60.6 mm).",-29.22019,114.88938,"2018-05-09",1,21,0.86,"Sub-legal","Sub-legal","Sub-legal"
"191136","Female",51.4,-29.21943,114.8891633,"2018-05-08","Tag 191136. A Female lobster, first caught on  2018-05-08 (51.4 mm).",NA,NA,NA,NA,22,0.9,"Sub-legal","Sub-legal","Sub-legal"
"191136","Female",51.4,-29.21938833,114.889235,"2018-05-08","Tag 191136. At liberty for 1 days before being caught again on 2018-05-09 (51.4 mm).",-29.21938833,114.889235,"2018-05-09",1,23,0.94,"Sub-legal","Sub-legal","Sub-legal"
"191148","Female",58.3,-29.21843167,114.8881917,"2018-05-08","Tag 191148. A Female lobster, first caught on  2018-05-08 (58.3 mm).",NA,NA,NA,NA,24,0.98,"Sub-legal","Sub-legal","Sub-legal"
"191148","Female",58.6,-29.21844167,114.888355,"2018-05-08","Tag 191148. At liberty for 1 days before being caught again on 2018-05-09 (58.6 mm).",-29.21844167,114.888355,"2018-05-09",1,25,1.02,"Sub-legal","Sub-legal","Sub-legal"
"191162","Female",55.2,-29.21713,114.8878783,"2018-05-09","Tag 191162. A Female lobster, first caught on  2018-05-09 (55.2 mm).",NA,NA,NA,NA,26,1.06,"Sub-legal","Sub-legal","Sub-legal"
"191162","Female",69.5,-29.3419171,114.8746565,"2018-05-09","Tag 191162. At liberty for 210 days before being caught again on 2018-12-05 (69.5 mm).",-29.3419171,114.8746565,"2018-12-05",210,27,1.1,"Sub-legal","Sub-legal","Sub-legal"
"191207","Female",52.9,-29.42264667,114.8976733,"2018-05-09","Tag 191207. A Female lobster, first caught on  2018-05-09 (52.9 mm).",NA,NA,NA,NA,28,1.14,"Sub-legal","Sub-legal","Sub-legal"
"191207","Female",53.6,-29.42210833,114.8951767,"2018-05-09","Tag 191207. At liberty for 33 days before being caught again on 2018-06-11 (53.6 mm).",-29.42210833,114.8951767,"2018-06-11",33,29,1.18,"Sub-legal","Sub-legal","Sub-legal"
"191208","Female",50.9,-29.42264667,114.8976733,"2018-05-09","Tag 191208. A Female lobster, first caught on  2018-05-09 (50.9 mm).",NA,NA,NA,NA,30,1.22,"Sub-legal","Sub-legal","Sub-legal"
"191208","Female",55.2,-29.42347,114.89525,"2018-05-09","Tag 191208. At liberty for 98 days before being caught again on 2018-08-15 (55.2 mm).",-29.42347,114.89525,"2018-08-15",98,31,1.26,"Sub-legal","Sub-legal","Sub-legal"
"191208","Female",55,-29.42345,114.8952,"2018-08-15","Tag 191208. At liberty for 1 days before being caught again on 2018-08-16 (55 mm).",-29.42345,114.8952,"2018-08-16",1,32,1.3,"Sub-legal","Sub-legal","Sub-legal"
"191211","Male",60.4,-29.42264667,114.8976733,"2018-05-09","Tag 191211. A Male lobster, first caught on  2018-05-09 (60.4 mm).",NA,NA,NA,NA,33,1.34,"Sub-legal","Sub-legal","Sub-legal"
"191211","Male",61.6,-29.42261667,114.8974733,"2018-05-09","Tag 191211. At liberty for 34 days before being caught again on 2018-06-12 (61.6 mm).",-29.42261667,114.8974733,"2018-06-12",34,34,1.39,"Sub-legal","Sub-legal","Sub-legal"
"191211","Male",60.5,-29.42334,114.89514,"2018-06-12","Tag 191211. At liberty for 24 days before being caught again on 2018-07-06 (60.5 mm).",-29.42334,114.89514,"2018-07-06",24,35,1.43,"Sub-legal","Sub-legal","Sub-legal"
"191259","Female",58.3,-29.42109167,114.8951633,"2018-05-09","Tag 191259. A Female lobster, first caught on  2018-05-09 (58.3 mm).",NA,NA,NA,NA,36,1.47,"Sub-legal","Sub-legal","Sub-legal"
"191259","Female",63.3,-29.42135,114.8946,"2018-05-09","Tag 191259. At liberty for 130 days before being caught again on 2018-09-16 (63.3 mm).",-29.42135,114.8946,"2018-09-16",130,37,1.51,"Sub-legal","Sub-legal","Sub-legal"
"191261","Male",53.5,-29.48233535,114.9592736,"2018-05-09","Tag 191261. A Male lobster, first caught on  2018-05-09 (53.5 mm).",NA,NA,NA,NA,38,1.55,"Sub-legal","Sub-legal","Sub-legal"
"191261","Male",58.5,-29.48259,114.95906,"2018-05-09","Tag 191261. At liberty for 96 days before being caught again on 2018-08-13 (58.5 mm).",-29.48259,114.95906,"2018-08-13",96,39,1.59,"Sub-legal","Sub-legal","Sub-legal"
"191261","Male",59,-29.48219,114.9592,"2018-08-13","Tag 191261. At liberty for 32 days before being caught again on 2018-09-14 (59 mm).",-29.48219,114.9592,"2018-09-14",32,40,1.63,"Sub-legal","Sub-legal","Sub-legal"
"191261","Male",58.5,-29.48238,114.9593,"2018-09-14","Tag 191261. At liberty for 54 days before being caught again on 2018-11-07 (58.5 mm).",-29.48238,114.9593,"2018-11-07",54,41,1.67,"Sub-legal","Sub-legal","Sub-legal"
"191264","Male",55.8,-29.53827333,114.952565,"2018-05-09","Tag 191264. A Male lobster, first caught on  2018-05-09 (55.8 mm).",NA,NA,NA,NA,42,1.71,"Sub-legal","Sub-legal","Sub-legal"
"191264","Male",56.2,-29.53816,114.95275,"2018-05-09","Tag 191264. At liberty for 96 days before being caught again on 2018-08-13 (56.2 mm).",-29.53816,114.95275,"2018-08-13",96,43,1.75,"Sub-legal","Sub-legal","Sub-legal"
"191268","Male",63.2,-29.4268,114.89584,"2018-07-08","Tag 191268. A Male lobster, first caught on  2018-07-08 (63.2 mm).",NA,NA,NA,NA,44,1.79,"Sub-legal","Sub-legal","Sub-legal"
"191268","Male",63.1,-29.42687,114.8959,"2018-07-08","Tag 191268. At liberty for 70 days before being caught again on 2018-09-16 (63.1 mm).",-29.42687,114.8959,"2018-09-16",70,45,1.83,"Sub-legal","Sub-legal","Sub-legal"
