"Tag.number","Latitude","Longitude","Carapace.length","Size.at.release","Size.at.recapture","Size","Release.location","Sex","Labels"
"K3123",-29.5807267,114.5271914,89,"Legal","Legal","Legal","Golden Ridge","Male","Tag K3123. At liberty for 167 days before being caught again on 2018-12-20 (89 mm)."
"K3911",-29.55311398,114.9355681,76.8,"Legal","Legal","Legal","Cliff Head","Female","Tag K3911. A Female lobster, first caught on 2018-11-28 (76.8 mm)."
"K3866",-29.54897814,114.9466107,77.6,"Legal","Legal","Legal","Cliff Head","Female","Tag K3866. A Female lobster, first caught on 2018-11-28 (77.6 mm)."
"K3868",-29.54163254,114.9276218,74.4,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K3868. A Female lobster, first caught on 2018-11-28 (74.4 mm)."
"K3868",-29.54124,114.9275083,74.4,"Sub-legal","Sub-legal","Sub-legal","Golden Ridge","Female","Tag K3868. At liberty for 1 days before being caught again on 2018-11-29 (74.4 mm)."
"K2731",-29.5410158,114.9272221,76.1,"Legal","Legal","Legal","Golden Ridge","Male","Tag K2731. A Male lobster, first caught on 2018-06-14 (76.1 mm).<br> <br>Tag K2729. A Male lobster, first caught on 2018-06-14 (86.3 mm)."
"K2729",-29.5410158,114.9272221,86.3,"Legal","Legal","Legal","Golden Ridge","Male","Tag K2731. A Male lobster, first caught on 2018-06-14 (76.1 mm).<br> <br>Tag K2729. A Male lobster, first caught on 2018-06-14 (86.3 mm)."
"K2827",-29.54101,114.95043,82.2,"Legal","Legal","Legal","Cliff Head","Female","Tag K2827. At liberty for 23 days before being caught again on 2018-07-08 (82.2 mm)."
"K2829",-29.54098833,114.9504317,79.5,"Legal","Legal","Legal","Cliff Head","Male","Tag K2829. A Male lobster, first caught on 2018-06-15 (79.5 mm).<br> <br>Tag K2828. A Male lobster, first caught on 2018-06-15 (80.9 mm).<br> <br>Tag K2827. A Female lobster, first caught on 2018-06-15 (82.4 mm)."
"K2828",-29.54098833,114.9504317,80.9,"Legal","Legal","Legal","Cliff Head","Male","Tag K2829. A Male lobster, first caught on 2018-06-15 (79.5 mm).<br> <br>Tag K2828. A Male lobster, first caught on 2018-06-15 (80.9 mm).<br> <br>Tag K2827. A Female lobster, first caught on 2018-06-15 (82.4 mm)."
"K2827",-29.54098833,114.9504317,82.4,"Legal","Legal","Legal","Cliff Head","Female","Tag K2829. A Male lobster, first caught on 2018-06-15 (79.5 mm).<br> <br>Tag K2828. A Male lobster, first caught on 2018-06-15 (80.9 mm).<br> <br>Tag K2827. A Female lobster, first caught on 2018-06-15 (82.4 mm)."
"196188",-29.54092,114.9503,54.9,"Sub-legal","Sub-legal","Sub-legal","Cliff Head","Female","Tag 196188. At liberty for 32 days before being caught again on 2018-09-15 (54.9 mm).<br> <br>Tag K2829. At liberty for 1 days before being caught again on 2018-09-15 (80 mm).<br> <br>Tag K2831. At liberty for 33 days before being caught again on 2018-09-15 (85.1 mm)."
"K2828",-29.54092,114.9505,81.5,"Legal","Legal","Legal","Cliff Head","Male","Tag K2828. At liberty for 91 days before being caught again on 2018-09-14 (81.5 mm).<br> <br>Tag K2829. At liberty for 91 days before being caught again on 2018-09-14 (80.2 mm).<br> <br>Tag K4322. A Female lobster, first caught on 2018-09-14 (85.2 mm)."
"K2829",-29.54092,114.9505,80.2,"Legal","Legal","Legal","Cliff Head","Male","Tag K2828. At liberty for 91 days before being caught again on 2018-09-14 (81.5 mm).<br> <br>Tag K2829. At liberty for 91 days before being caught again on 2018-09-14 (80.2 mm).<br> <br>Tag K4322. A Female lobster, first caught on 2018-09-14 (85.2 mm)."
"K2829",-29.54092,114.9503,80,"Legal","Legal","Legal","Cliff Head","Male","Tag 196188. At liberty for 32 days before being caught again on 2018-09-15 (54.9 mm).<br> <br>Tag K2829. At liberty for 1 days before being caught again on 2018-09-15 (80 mm).<br> <br>Tag K2831. At liberty for 33 days before being caught again on 2018-09-15 (85.1 mm)."
"K2831",-29.54092,114.9503,85.1,"Legal","Legal","Legal","Cliff Head","Female","Tag 196188. At liberty for 32 days before being caught again on 2018-09-15 (54.9 mm).<br> <br>Tag K2829. At liberty for 1 days before being caught again on 2018-09-15 (80 mm).<br> <br>Tag K2831. At liberty for 33 days before being caught again on 2018-09-15 (85.1 mm)."
"K3214",-29.54092,114.95048,75.8,"Sub-legal","Legal","Changed to legal size","Cliff Head","Female","Tag K3214. A Female lobster, first caught on 2018-07-07 (75.8 mm).<br> <br>Tag K3250. A Male lobster, first caught on 2018-07-07 (86.3 mm)."
